Interval=	0.0025 s
ExcelDateTime=	4.4993566444580458e+004	3/8/2023 13:35:40.811751
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.8275	11.14659
2.83	11.1047
2.8325	9.453958
2.835	7.335911
2.8375	5.096081
2.84	2.357727
2.8425	-0.8314718
2.845	-4.167939
2.8475	-7.162236
2.85	-9.496323
2.8525	-11.48059
2.855	-12.65593
2.8575	-11.21085
2.86	-7.011922
2.8625	-2.308569
2.865	1.893942
2.8675	6.76933
2.87	12.63866
2.8725	18.57449
2.875	23.97077
2.8775	28.47858
2.88	32.32105
2.8825	35.80979
2.885	38.10514
2.8875	38.47401
2.89	37.52718
2.8925	35.42065
2.895	31.22355
2.8975	26.07838
2.9	22.16008
2.9025	18.48547
2.905	12.78273
2.9075	6.469509
2.91	2.670265
2.9125	1.521667
2.915	1.414923
2.9175	1.544908
2.92	2.00439
2.9225	3.305119
2.925	5.734292
2.9275	8.522749
2.93	10.05938
2.9325	9.785529
2.935	8.568899
2.9375	7.554498
2.94	7.665859
2.9425	9.282502
2.945	10.71917
2.9475	9.38356
2.95	5.761551
2.9525	2.843181
2.955	0.9254692
2.9575	-3.232415
2.96	-10.32811
2.9625	-16.37948
2.965	-18.24005
2.9675	-17.69942
2.97	-18.4004
2.9725	-21.0501
2.975	-23.88739
2.9775	-26.39223
2.98	-29.54742
2.9825	-32.98447
2.985	-35.484
2.9875	-37.09946
2.99	-38.40558
2.9925	-39.19442
2.995	-39.61539
2.9975	-40.48033
3	-41.28523
3.0025	-40.41028
3.005	-37.82775
3.0075	-35.31706
3.01	-33.88299
3.0125	-32.92858
3.015	-31.5218
3.0175	-29.90923
3.02	-29.04939
3.0225	-28.89677
3.025	-28.19877
3.0275	-26.33422
3.03	-23.84987
3.0325	-20.8849
3.035	-17.34523
3.0375	-13.94677
3.04	-11.15224
3.0425	-8.335564
3.045	-5.896595
3.0475	-5.12836
3.05	-5.881578
3.0525	-7.569701
3.055	-10.00376
3.0575	-12.00783
3.06	-12.51113
3.0625	-12.00248
3.065	-11.10388
3.0675	-10.01429
3.07	-9.391959
3.0725	-9.399822
3.075	-9.368983
3.0775	-9.233539
3.08	-9.311646
3.0825	-9.038592
3.085	-7.126897
3.0875	-3.233661
3.09	1.487425
3.0925	5.57586
3.095	9.089302
3.0975	13.57489
3.1	19.29329
3.1025	24.45284
3.105	27.91412
3.1075	30.55383
3.11	33.27406
3.1125	36.05145
3.115	38.69515
3.1175	40.93412
3.12	42.17162
3.1225	42.3498
3.125	42.02606
3.1275	40.82222
3.13	38.0748
3.1325	34.55361
3.135	30.83589
3.1375	26.19372
3.14	20.65382
3.1425	15.73338
3.145	12.00934
3.1475	8.308504
3.15	3.355567
3.1525	-2.807835
3.155	-8.708694
3.1575	-12.81972
3.16	-15.28111
3.1625	-16.87397
3.165	-16.90678
3.1675	-14.16485
3.17	-8.77264
3.1725	-2.063251
3.175	4.33037
3.1775	9.455721
3.18	13.61218
3.1825	17.36564
3.185	20.73513
3.1875	23.94
3.19	27.52468
3.1925	31.16161
3.195	33.8782
3.1975	35.1394
3.2	34.62929
3.2025	32.51169
3.205	29.99606
3.2075	27.81469
3.21	25.2111
3.2125	21.411
3.215	16.84526
3.2175	12.06103
3.22	6.882254
3.2225	1.115777
3.225	-5.131919
3.2275	-11.55435
3.23	-17.26647
3.2325	-21.3521
3.235	-24.12052
3.2375	-26.22026
3.24	-27.28772
3.2425	-26.71806
3.245	-24.99168
3.2475	-22.62599
3.25	-19.40869
3.2525	-15.40229
3.255	-10.55887
3.2575	-4.616156
3.26	1.893221
3.2625	8.442706
3.265	15.30885
3.2675	22.55384
3.27	29.68996
3.2725	35.91838
3.275	40.13224
3.2775	41.91913
3.28	42.16079
3.2825	41.88456
3.285	41.12558
3.2875	39.06945
3.29	35.19593
3.2925	30.31493
3.295	25.43634
3.2975	20.78893
3.3	16.25205
3.3025	11.67014
3.305	7.49659
3.3075	4.46397
3.31	1.895415
3.3125	-1.837729
3.315	-6.942904
3.3175	-13.00785
3.32	-20.08625
3.3225	-27.44798
3.325	-33.30562
3.3275	-36.34212
3.33	-36.23807
3.3325	-34.0539
3.335	-32.72631
3.3375	-34.16894
