Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.3975	-14.44695
2.4	-18.30949
2.4025	-22.07559
2.405	-23.31538
2.4075	-21.20744
2.41	-16.6937
2.4125	-11.85528
2.415	-9.681445
2.4175	-11.30618
2.42	-14.11356
2.4225	-14.47737
2.425	-10.94271
2.4275	-4.918295
2.43	0.3190815
2.4325	2.662971
2.435	3.376986
2.4375	4.755646
2.44	7.700757
2.4425	11.63304
2.445	14.89123
2.4475	16.15015
2.45	15.967
2.4525	15.76533
2.455	15.37603
2.4575	13.52253
2.46	10.71114
2.4625	8.913152
2.465	8.568917
2.4675	8.680061
2.47	8.53909
2.4725	7.597987
2.475	5.711156
2.4775	3.613354
2.48	2.118077
2.4825	1.652635
2.485	2.220622
2.4875	2.705863
2.49	1.718266
2.4925	-0.1645214
2.495	-1.375859
2.4975	-1.701305
2.5	-1.354097
2.5025	0.2389984
2.505	2.549714
2.5075	4.244926
2.51	5.72901
2.5125	8.171745
2.515	11.4463
2.5175	14.77913
2.52	17.29736
2.5225	17.88105
2.525	16.85232
2.5275	15.88135
2.53	15.61579
2.5325	15.32283
2.535	14.63777
2.5375	14.14263
2.54	13.86123
2.5425	13.32737
2.545	12.78316
2.5475	12.76164
2.55	12.97207
2.5525	12.80363
2.555	11.70787
2.5575	9.35191
2.56	6.59183
2.5625	4.55838
2.565	3.323386
2.5675	2.699328
2.57	3.085812
2.5725	4.491487
2.575	6.021339
2.5775	6.15347
2.58	3.825165
2.5825	0.1931507
2.585	-2.277754
2.5875	-2.45982
2.59	-1.391842
2.5925	-0.6928747
2.595	-1.13993
2.5975	-2.290145
2.6	-3.268287
2.6025	-3.962832
2.605	-5.050645
2.6075	-6.47475
2.61	-6.994393
2.6125	-6.241835
2.615	-5.39092
2.6175	-5.265579
2.62	-5.437948
2.6225	-5.491844
2.625	-5.587242
2.6275	-5.914443
2.63	-6.7958
2.6325	-8.653131
2.635	-10.91786
2.6375	-12.08753
2.64	-11.6932
2.6425	-10.4985
2.645	-9.4313
2.6475	-9.083299
2.65	-9.672725
2.6525	-10.98788
2.655	-12.94005
2.6575	-15.02378
2.66	-16.0995
2.6625	-16.15144
2.665	-16.50136
2.6675	-17.50275
2.67	-18.41161
2.6725	-19.21689
2.675	-20.15661
